Stock number,Artist's reference number,Title,Year,Medium,Dimensions,Signed and dated,Series,Additional information,Status,Availability,Location,Location (detail),Condition 
HC3737,i23-2737,Untitled (i23-2737),1984,Ink on paper,"56.2 x 76.5 cm; 22 1/8 x 30 1/8 in",,,"Work has Early People imagery
Created with THS paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Partial image on reverse
HC3736,i23-2736,Untitled (i23-2736),1984,Ink on paper,"56 x 76.5 cm; 22 1/8 x 30 1/8 in",,,"Work has Early People imagery
Created with THS paper
Image size: 18 x 24 1/2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3735,i23-2735,Untitled (i23-2735),1984,Ink on paper,"56.2 x 76.2 cm; 22 1/8 x 30 in",,,"Work has Early People imagery
Created with THS paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Left edge bent
HC3734,i23-2734,Untitled (i23-2734),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 15 1/4 x 23 1/2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Partial image on reverse
HC3733,i23-2733,Untitled (i23-2733),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3732,i23-2732,Untitled (i23-2732),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3731,i23-2731,Untitled (i23-2731),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 18 x 23 3/4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3730,i23-2730,Untitled (i23-2730),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Ink mark on front lower left margin
HC3729,i23-2729,Untitled (i23-2729),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 17 5/8 x 25",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3728,i23-2728,Untitled (i23-2728),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 17 3/4 x 25 1/2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3727,i23-2727,Untitled (i23-2727),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3726,i23-2726,Untitled (i23-2726),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in","22191 is written on reverse
in pencil",,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3725,i23-2725,Untitled (i23-2725),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in","8714 is written on reverse
in pencil",,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 17 1/4 x 24",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3724,i23-2724,Untitled (i23-2724),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,"Ink mark on the lower left front corner
Ink marks on reverse"
HC3723,i23-2723,Untitled (i23-2723),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 17 3/4 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3722,i23-2722,Untitled (i23-2722),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,"Ink marks on reverse
Smudge mark lower right corner"
HC3721,i23-2721,Untitled (i23-2721),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Ink marks on reverse
HC3720,i23-2720,Untitled (i23-2720),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,"Smudge and dirt marks on reverse
Multiple dirt marks on front right margin"
HC3719,i23-2719,Untitled (i23-2719),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,"Ink marks on reverse
Stray ink mark in left front margin"
HC3718,i23-2718,Untitled (i23-2718),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3717,i23-2717,Untitled (i23-2717),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3716,i23-2716,Untitled (i23-2716),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Ink marks on reverse
HC3715,i23-2715,Untitled (i23-2715),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Ink marks on reverse
HC3714,i23-2714,Untitled (i23-2714),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3713,i23-2713,Untitled (i23-2713),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 17 3/4 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3712,i23-2712,Untitled (i23-2712),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Created with artist rising Bristol vellum paper
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3711,i23-2711,Untitled (i23-2711),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3710,i23-2710,Untitled (i23-2710),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3709,i23-2709,Untitled (i23-2709),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Ink marks on reverse
HC3708,i23-2708,Untitled (i23-2708),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3707,i23-2707,Untitled (i23-2707),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3706,i23-2706,Untitled (i23-2706),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3705,i23-2705,Untitled (i23-2705),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 17 3/4 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Dirt marks both left and right margins
HC3704,i23-2704,Untitled (i23-2704),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3703,i23-2703,Untitled (i23-2703),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3702,i23-2702,Untitled (i23-2702),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 17 1/2 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Partial image on reverse
HC3701,i23-2701,Untitled (i23-2701),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,"Image on reverse
Ink marks in margin area"
HC3700,i23-2700,Untitled (i23-2700),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3699,i23-2699,Untitled (i23-2699),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 25 3/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Ink marks on reverse
HC3698,i23-2698,Untitled (i23-2698),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Stray ink marks left bottom corner
HC3697,i23-2697,Untitled (i23-2697),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3696,i23-2696,Untitled (i23-2696),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Smudges on front and back
HC3695,i23-2695,Untitled (i23-2695),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3694,i23-2694,Untitled (i23-2694),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 25 1/2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3693,i23-2693,Untitled (i23-2693),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 25 3/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3692,i23-2692,Untitled (i23-2692),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,"Dirt marks bottom margin
Stray ink line left margin"
HC3691,i23-2691,Untitled (i23-2691),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 24 5/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3690,i23-2690,Untitled (i23-2690),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3689,i23-2689,Untitled (i23-2689),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Ink smudge left margin
HC3688,i23-2688,Untitled (i23-2688),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3687,i23-2687,Untitled (i23-2687),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3686,i23-2686,Untitled (i23-2686),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Ink marks on reverse
HC3685,i23-2685,Untitled (i23-2685),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 17 3/4 x 25",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3684,i23-2684,Untitled (i23-2684),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 17 1/2 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Ink droplets left margin
HC3683,i23-2683,Untitled (i23-2683),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 17 1/2 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,"Ink mark lower left corner
Ink smudges on reverse"
HC3682,i23-2682,Untitled (i23-2682),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 17 1/4 x 25 1/2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3681,i23-2681,Untitled (i23-2681),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 14 1/2 x 24",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3680,i23-2680,Untitled (i23-2680),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Stray ink line left margin
HC3679,i23-2679,Untitled (i23-2679),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3678,i23-2678,Untitled (i23-2678),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 25",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3677,i23-2677,Untitled (i23-2677),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 25 3/4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3676,i23-2676,Untitled (i23-2676),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Ink marks on left corner
HC3675,i23-2675,Untitled (i23-2675),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3674,i23-2674,Untitled (i23-2674),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3673,i23-2673,Untitled (i23-2673),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3672,i23-2672,Untitled (i23-2672),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 17 3/4 x 25 3/4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Red mark on reverse
HC3671,i23-2671,Untitled (i23-2671),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 25 3/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3670,i23-2670,Untitled (i23-2670),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 17 1/2 x 25 3/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Thick ink marks lower left margin
HC3669,i23-2669,Untitled (i23-2669),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 23 7/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3668,i23-2668,Untitled (i23-2668),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Dirt mark top margin
HC3667,i23-2667,Untitled (i23-2667),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 17 1/2 x 25 1/2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3666,i23-2666,Untitled (i23-2666),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3665,i23-2665,Untitled (i23-2665),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3664,i23-2664,Untitled (i23-2664),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3663,i23-2663,Untitled (i23-2663),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 25 3/4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3662,i23-2662,Untitled (i23-2662),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3661,i23-2661,Untitled (i23-2661),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3660,i23-2660,Untitled (i23-2660),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Narrow top margin 
HC3659,i23-2659,Untitled (i23-2659),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3658,i23-2658,Untitled (i23-2658),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 25 1/2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3657,i23-2657,Untitled (i23-2657),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Ink droplets left margin
HC3656,i23-2656,Untitled (i23-2656),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3655,i23-2655,Untitled (i23-2655),1987,Ink on paper,"57.1 x 76.5 cm; 22 1/2 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,"Ink mark lower left corner
Stray ink drops lower margin and on image face"
HC3654,i23-2654,Untitled (i23-2654),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 25 1/2",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Dirt marks on reverse
HC3653,i23-2653,Untitled (i23-2653),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,"Image shifted upwards
Ink mark along left edge"
HC3652,i23-2652,Untitled (i23-2652),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 23 3/4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3651,i23-2651,Untitled (i23-2651),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 17 1/2 x 25 3/8",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3650,i23-2650,Untitled (i23-2650),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3649,i23-2649,Untitled (i23-2649),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3648,i23-2648,Untitled (i23-2648),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 17 3/4 x 25 1/4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Ink mark on lower right corner
HC3647,i23-2647,Untitled (i23-2647),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 23 1/4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Ink marks on reverse
HC3646,i23-2646,Untitled (i23-2646),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3645,i23-2645,Untitled (i23-2645),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Ink marks on reverse
HC3644,i23-2644,Untitled (i23-2644),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3643,i23-2643,Untitled (i23-2643),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 24 1/4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3642,i23-2642,Untitled (i23-2642),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 11 3/4 x 23 1/4",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3641,i23-2641,Untitled (i23-2641),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Partial image on reverse
HC3640,i23-2640,Untitled (i23-2640),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3639,i23-2639,Untitled (i23-2639),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Ink mark on reverse
HC3638,i23-2638,Untitled (i23-2638),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3637,i23-2637,Untitled (i23-2637),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC3636,i23-2636,Untitled (i23-2636),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,"Small spot of discoloration in right margin
Foxing or discoloration on reverse"
HC3635,i23-2635,Untitled (i23-2635),1987,Ink on paper,"56.4 x 76.5 cm; 22 1/4 x 30 1/8 in",,,"Work has Jungle drawings imagery 
Image size: 18 x 26",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,Ink mark on reverse
